Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
143,17 July 2023,CUST143,Female,45,Clothing,1,50,50
144,15 July 2023,CUST144,Female,59,Beauty,3,500,1500
145,02 November 2023,CUST145,Female,39,Clothing,3,25,75
146,28 August 2023,CUST146,Male,38,Clothing,4,50,200
147,28 September 2023,CUST147,Male,23,Electronics,1,300,300
148,09 May 2023,CUST148,Male,18,Clothing,2,30,60
149,11 October 2023,CUST149,Male,22,Clothing,3,25,75
150,06 January 2023,CUST150,Female,58,Electronics,4,30,120
151,15 December 2023,CUST151,Male,29,Clothing,1,50,50
152,28 February 2023,CUST152,Male,43,Electronics,4,500,2000
153,16 December 2023,CUST153,Male,63,Electronics,2,500,1000
154,02 October 2023,CUST154,Male,51,Electronics,3,300,900
155,17 May 2023,CUST155,Male,31,Electronics,4,500,2000
156,25 November 2023,CUST156,Female,43,Clothing,4,25,100
157,24 June 2023,CUST157,Male,62,Electronics,4,500,2000
158,27 February 2023,CUST158,Female,44,Electronics,2,300,600
159,31 May 2023,CUST159,Male,26,Clothing,4,50,200
160,11 August 2023,CUST160,Female,43,Clothing,2,50,100
161,22 March 2023,CUST161,Male,64,Beauty,2,500,1000
162,21 August 2023,CUST162,Male,39,Clothing,2,30,60
163,02 January 2023,CUST163,Female,64,Clothing,3,50,150
164,15 May 2023,CUST164,Female,47,Beauty,3,500,1500
165,14 September 2023,CUST165,Female,60,Clothing,4,300,1200
166,02 April 2023,CUST166,Male,34,Clothing,4,500,2000
167,17 September 2023,CUST167,Female,43,Clothing,3,50,150
168,24 February 2023,CUST168,Male,53,Clothing,1,300,300
169,17 November 2023,CUST169,Male,18,Beauty,3,500,1500
170,02 June 2023,CUST170,Female,25,Clothing,2,25,50
171,24 November 2023,CUST171,Female,52,Clothing,3,300,900
172,17 September 2023,CUST172,Male,32,Beauty,2,25,50
173,08 November 2023,CUST173,Male,64,Electronics,4,30,120
174,12 April 2023,CUST174,Female,39,Beauty,1,300,300
175,20 March 2023,CUST175,Female,31,Electronics,4,25,100
176,11 July 2023,CUST176,Female,43,Beauty,2,50,100
177,24 March 2023,CUST177,Male,45,Beauty,2,50,100
178,04 October 2023,CUST178,Male,40,Clothing,2,30,60
179,29 September 2023,CUST179,Male,31,Electronics,1,300,300
180,01 January 2023,CUST180,Male,41,Clothing,3,300,900
181,03 November 2023,CUST181,Male,19,Electronics,4,300,1200
182,15 June 2023,CUST182,Male,62,Beauty,4,30,120
183,08 September 2023,CUST183,Female,43,Beauty,3,300,900
184,10 January 2023,CUST184,Male,31,Electronics,4,50,200
185,27 February 2023,CUST185,Male,24,Clothing,1,25,25
186,05 July 2023,CUST186,Male,20,Clothing,4,50,200
187,07 June 2023,CUST187,Female,64,Clothing,2,50,100
188,03 May 2023,CUST188,Male,40,Clothing,3,25,75
189,30 January 2023,CUST189,Male,63,Beauty,1,50,50
190,04 May 2023,CUST190,Female,60,Beauty,3,30,90
191,18 October 2023,CUST191,Male,64,Beauty,1,25,25
192,10 February 2023,CUST192,Male,62,Beauty,2,50,100
193,13 February 2023,CUST193,Male,35,Beauty,3,500,1500
194,06 September 2023,CUST194,Male,55,Clothing,4,50,200
195,05 February 2023,CUST195,Male,52,Clothing,1,30,30
196,30 September 2023,CUST196,Female,32,Clothing,3,300,900
197,06 March 2023,CUST197,Female,42,Clothing,4,50,200
198,07 March 2023,CUST198,Female,54,Beauty,3,300,900
199,04 December 2023,CUST199,Male,45,Beauty,3,500,1500
200,01 September 2023,CUST200,Male,27,Beauty,3,50,150
201,09 October 2023,CUST201,Male,56,Electronics,1,25,25
202,26 March 2023,CUST202,Female,34,Clothing,4,300,1200
203,16 May 2023,CUST203,Male,56,Clothing,2,500,1000
204,28 September 2023,CUST204,Male,39,Beauty,1,25,25
205,07 November 2023,CUST205,Female,43,Clothing,1,25,25
206,05 August 2023,CUST206,Male,61,Clothing,1,25,25
207,19 April 2023,CUST207,Female,42,Beauty,2,25,50
208,04 October 2023,CUST208,Female,34,Electronics,4,50,200
209,20 December 2023,CUST209,Female,30,Electronics,4,50,200
210,13 April 2023,CUST210,Male,37,Electronics,4,50,200
211,01 January 2024,CUST211,Male,42,Beauty,3,500,1500
212,09 June 2023,CUST212,Male,21,Clothing,3,500,1500
213,24 July 2023,CUST213,Male,27,Beauty,3,500,1500
214,10 December 2023,CUST214,Male,20,Beauty,2,30,60
215,29 November 2023,CUST215,Male,58,Clothing,3,500,1500
216,11 July 2023,CUST216,Male,62,Electronics,2,50,100
217,13 August 2023,CUST217,Female,35,Electronics,4,50,200
218,22 September 2023,CUST218,Male,64,Beauty,3,30,90
219,20 August 2023,CUST219,Female,53,Electronics,3,30,90
220,03 March 2023,CUST220,Male,64,Beauty,1,500,500
221,07 May 2023,CUST221,Male,39,Beauty,2,300,600
222,26 April 2023,CUST222,Male,51,Clothing,4,30,120
223,02 February 2023,CUST223,Female,64,Clothing,1,25,25
224,23 June 2023,CUST224,Female,25,Clothing,1,50,50
225,11 January 2023,CUST225,Female,57,Beauty,4,25,100
226,29 October 2023,CUST226,Female,61,Clothing,1,50,50
227,11 October 2023,CUST227,Male,36,Electronics,2,50,100
228,28 April 2023,CUST228,Female,59,Electronics,2,30,60
229,29 October 2023,CUST229,Male,58,Beauty,3,30,90
230,23 April 2023,CUST230,Male,54,Beauty,1,25,25
231,04 January 2023,CUST231,Female,23,Clothing,3,50,150
232,06 February 2023,CUST232,Female,43,Beauty,1,25,25
233,29 December 2023,CUST233,Female,51,Beauty,2,300,600
234,20 November 2023,CUST234,Female,62,Electronics,2,25,50
235,31 January 2023,CUST235,Female,23,Electronics,2,500,1000
236,28 April 2023,CUST236,Female,54,Clothing,1,25,25
237,04 February 2023,CUST237,Female,50,Beauty,2,500,1000
238,17 January 2023,CUST238,Female,39,Beauty,1,500,500
239,19 June 2023,CUST239,Male,38,Electronics,3,500,1500
240,06 February 2023,CUST240,Female,23,Beauty,1,300,300
241,21 September 2023,CUST241,Female,23,Electronics,3,25,75
242,02 May 2023,CUST242,Male,21,Clothing,1,25,25
243,23 May 2023,CUST243,Female,47,Electronics,3,300,900
244,09 December 2023,CUST244,Male,28,Beauty,2,50,100
245,06 September 2023,CUST245,Male,47,Clothing,3,30,90
246,20 April 2023,CUST246,Female,48,Electronics,2,25,50
247,04 October 2023,CUST247,Male,41,Electronics,2,30,60
248,09 March 2023,CUST248,Male,26,Clothing,3,300,900
249,20 October 2023,CUST249,Male,20,Clothing,1,50,50
250,23 October 2023,CUST250,Male,48,Electronics,1,50,50
251,31 August 2023,CUST251,Female,57,Beauty,4,50,200
252,05 May 2023,CUST252,Male,54,Electronics,1,300,300
253,31 August 2023,CUST253,Female,53,Clothing,4,500,2000
254,28 July 2023,CUST254,Male,41,Electronics,1,500,500
255,08 April 2023,CUST255,Male,48,Clothing,1,30,30
256,18 February 2023,CUST256,Male,23,Clothing,2,500,1000
257,19 February 2023,CUST257,Male,19,Beauty,4,500,2000
258,04 December 2023,CUST258,Female,37,Clothing,1,50,50
259,09 August 2023,CUST259,Female,45,Clothing,4,50,200
260,01 July 2023,CUST260,Male,28,Beauty,2,30,60
261,05 August 2023,CUST261,Male,21,Clothing,2,25,50
262,30 July 2023,CUST262,Female,32,Beauty,4,30,120
263,28 August 2023,CUST263,Male,23,Beauty,2,30,60
264,28 January 2023,CUST264,Male,47,Clothing,3,300,900
265,11 December 2023,CUST265,Male,55,Clothing,3,300,900
266,01 December 2023,CUST266,Female,19,Electronics,2,30,60
267,27 November 2023,CUST267,Female,32,Beauty,3,30,90
268,20 February 2023,CUST268,Female,28,Electronics,1,30,30
269,01 February 2023,CUST269,Male,25,Clothing,4,500,2000
270,26 July 2023,CUST270,Male,43,Electronics,1,300,300
271,23 June 2023,CUST271,Female,62,Beauty,4,30,120
272,25 February 2023,CUST272,Female,61,Electronics,2,50,100
273,08 May 2023,CUST273,Female,22,Beauty,1,50,50
274,09 April 2023,CUST274,Female,23,Clothing,2,500,1000
275,08 April 2023,CUST275,Male,43,Clothing,2,500,1000
276,02 October 2023,CUST276,Female,21,Beauty,4,25,100
277,18 August 2023,CUST277,Male,36,Clothing,4,25,100
278,13 March 2023,CUST278,Female,37,Clothing,4,25,100
279,05 August 2023,CUST279,Male,50,Clothing,1,500,500
280,04 April 2023,CUST280,Female,37,Clothing,3,500,1500
281,23 May 2023,CUST281,Female,29,Beauty,4,500,2000
282,25 August 2023,CUST282,Female,64,Electronics,4,50,200
283,08 May 2023,CUST283,Female,18,Electronics,1,500,500
284,08 February 2023,CUST284,Male,43,Clothing,4,50,200
285,15 August 2023,CUST285,Female,31,Electronics,1,25,25
286,09 October 2023,CUST286,Male,55,Electronics,2,25,50
287,20 February 2023,CUST287,Male,54,Clothing,4,25,100
288,26 January 2023,CUST288,Male,28,Clothing,4,30,120
289,30 November 2023,CUST289,Male,53,Electronics,2,30,60
290,04 October 2023,CUST290,Female,30,Beauty,2,300,600
291,08 January 2023,CUST291,Male,60,Clothing,2,300,600
292,17 February 2023,CUST292,Male,20,Beauty,4,300,1200
293,02 May 2023,CUST293,Male,50,Electronics,3,30,90
294,27 March 2023,CUST294,Female,23,Clothing,3,30,90
295,28 July 2023,CUST295,Female,27,Beauty,3,300,900
296,06 September 2023,CUST296,Female,22,Clothing,4,300,1200
297,04 September 2023,CUST297,Female,40,Electronics,2,500,1000
298,20 April 2023,CUST298,Male,27,Beauty,4,300,1200
299,25 July 2023,CUST299,Male,61,Electronics,2,500,1000
300,31 January 2023,CUST300,Female,19,Electronics,4,50,200
301,26 March 2023,CUST301,Male,30,Clothing,4,30,120
302,14 July 2023,CUST302,Male,57,Beauty,2,300,600
303,02 January 2023,CUST303,Male,19,Electronics,3,30,90
304,19 July 2023,CUST304,Female,37,Electronics,2,30,60
305,16 May 2023,CUST305,Female,18,Beauty,1,30,30
306,21 August 2023,CUST306,Male,54,Electronics,1,50,50
307,27 May 2023,CUST307,Female,26,Electronics,2,25,50
308,05 August 2023,CUST308,Female,34,Beauty,4,300,1200
309,23 December 2023,CUST309,Female,26,Beauty,1,25,25
310,12 October 2023,CUST310,Female,28,Beauty,1,25,25
311,05 December 2023,CUST311,Female,32,Beauty,4,25,100
312,07 September 2023,CUST312,Male,41,Clothing,4,30,120
313,21 March 2023,CUST313,Female,55,Beauty,3,500,1500
314,08 April 2023,CUST314,Male,52,Clothing,4,30,120
315,01 June 2023,CUST315,Male,47,Clothing,2,30,60
316,22 April 2023,CUST316,Female,48,Clothing,2,25,50
317,30 January 2023,CUST317,Male,22,Electronics,3,30,90
318,24 October 2023,CUST318,Male,61,Clothing,1,25,25
319,05 October 2023,CUST319,Male,31,Clothing,1,500,500
320,01 February 2023,CUST320,Female,28,Electronics,4,300,1200
321,10 June 2023,CUST321,Female,26,Electronics,2,25,50
322,30 January 2023,CUST322,Male,51,Electronics,1,500,500
323,26 January 2023,CUST323,Female,29,Beauty,3,300,900
324,27 October 2023,CUST324,Female,52,Electronics,3,50,150
325,02 September 2023,CUST325,Female,52,Electronics,2,25,50
326,15 September 2023,CUST326,Female,18,Clothing,3,25,75
327,29 September 2023,CUST327,Male,57,Electronics,3,50,150
328,22 March 2023,CUST328,Male,39,Beauty,2,50,100
329,30 January 2023,CUST329,Female,46,Electronics,4,25,100
330,18 September 2023,CUST330,Female,25,Beauty,4,50,200
331,11 February 2023,CUST331,Male,28,Electronics,3,30,90
332,06 April 2023,CUST332,Male,58,Electronics,4,300,1200
333,05 February 2023,CUST333,Female,54,Electronics,4,300,1200
334,01 November 2023,CUST334,Male,31,Electronics,3,300,900
335,04 February 2023,CUST335,Female,47,Beauty,4,30,120
336,12 December 2023,CUST336,Female,52,Beauty,3,50,150
337,01 May 2023,CUST337,Male,38,Clothing,1,500,500
338,26 July 2023,CUST338,Male,54,Beauty,2,50,100
339,03 March 2023,CUST339,Female,22,Electronics,2,25,50
340,19 October 2023,CUST340,Female,36,Clothing,4,300,1200
341,07 May 2023,CUST341,Male,31,Clothing,4,50,200
342,24 October 2023,CUST342,Female,43,Clothing,4,500,2000
343,01 November 2023,CUST343,Male,21,Electronics,2,25,50
344,21 January 2023,CUST344,Female,42,Beauty,1,30,30
345,14 November 2023,CUST345,Male,62,Electronics,1,30,30
346,11 February 2023,CUST346,Male,59,Clothing,2,500,1000
347,03 August 2023,CUST347,Male,42,Electronics,1,25,25
348,03 December 2023,CUST348,Female,35,Electronics,2,300,600
349,26 October 2023,CUST349,Female,57,Beauty,1,50,50
350,17 October 2023,CUST350,Male,25,Beauty,3,25,75
351,25 September 2023,CUST351,Female,56,Clothing,3,30,90
352,11 June 2023,CUST352,Male,57,Electronics,2,500,1000
353,14 May 2023,CUST353,Male,31,Electronics,1,500,500
354,15 April 2023,CUST354,Female,49,Beauty,4,50,200
355,09 December 2023,CUST355,Female,55,Electronics,1,500,500
356,10 June 2023,CUST356,Male,50,Electronics,3,500,1500
357,03 May 2023,CUST357,Female,40,Electronics,3,25,75
358,16 May 2023,CUST358,Female,32,Beauty,1,300,300
359,22 July 2023,CUST359,Male,50,Clothing,1,50,50
360,09 March 2023,CUST360,Male,42,Clothing,4,25,100
361,10 December 2023,CUST361,Female,34,Electronics,4,300,1200
362,27 November 2023,CUST362,Male,50,Clothing,1,25,25
363,03 June 2023,CUST363,Male,64,Beauty,1,25,25
364,23 August 2023,CUST364,Female,19,Beauty,1,500,500
365,11 June 2023,CUST365,Male,31,Clothing,1,300,300
366,07 February 2023,CUST366,Male,57,Clothing,2,50,100
367,05 January 2023,CUST367,Female,57,Electronics,1,50,50
368,23 August 2023,CUST368,Female,56,Clothing,4,300,1200
369,15 November 2023,CUST369,Male,23,Electronics,3,500,1500
370,16 October 2023,CUST370,Male,23,Electronics,2,30,60
371,21 February 2023,CUST371,Female,20,Beauty,1,25,25
372,07 February 2023,CUST372,Female,24,Beauty,3,500,1500
373,03 October 2023,CUST373,Female,25,Beauty,2,300,600
374,20 April 2023,CUST374,Female,59,Beauty,3,25,75
375,17 September 2023,CUST375,Male,32,Clothing,1,50,50
376,16 May 2023,CUST376,Female,64,Beauty,1,30,30
377,09 March 2023,CUST377,Female,46,Clothing,4,50,200
378,28 June 2023,CUST378,Male,50,Beauty,1,300,300
379,05 February 2023,CUST379,Female,47,Clothing,1,25,25
380,06 May 2023,CUST380,Male,56,Electronics,2,300,600
381,09 July 2023,CUST381,Female,44,Clothing,4,25,100
382,26 May 2023,CUST382,Female,53,Clothing,2,500,1000
383,22 March 2023,CUST383,Female,46,Beauty,3,30,90
384,13 August 2023,CUST384,Male,55,Clothing,1,500,500
385,06 October 2023,CUST385,Male,50,Electronics,3,500,1500
386,27 December 2023,CUST386,Female,54,Electronics,2,300,600
387,04 June 2023,CUST387,Male,44,Beauty,1,30,30
388,10 November 2023,CUST388,Male,50,Electronics,1,25,25
389,01 December 2023,CUST389,Male,21,Clothing,2,25,50
390,28 September 2023,CUST390,Male,39,Electronics,2,50,100
391,05 January 2023,CUST391,Male,19,Beauty,2,25,50
392,08 December 2023,CUST392,Male,27,Clothing,2,300,600
393,11 October 2023,CUST393,Female,22,Beauty,2,500,1000
394,03 June 2023,CUST394,Female,27,Clothing,1,500,500
395,06 December 2023,CUST395,Male,50,Electronics,2,500,1000
396,23 February 2023,CUST396,Female,55,Beauty,1,30,30
397,10 March 2023,CUST397,Female,30,Beauty,1,25,25
398,16 May 2023,CUST398,Female,48,Clothing,2,300,600
399,01 March 2023,CUST399,Female,64,Beauty,2,30,60
400,24 February 2023,CUST400,Male,53,Clothing,4,50,200
401,11 October 2023,CUST401,Female,62,Clothing,1,300,300
402,21 March 2023,CUST402,Female,41,Clothing,2,300,600
403,20 May 2023,CUST403,Male,32,Clothing,2,300,600
404,25 May 2023,CUST404,Male,46,Electronics,2,500,1000
405,06 November 2023,CUST405,Female,25,Clothing,4,300,1200
406,18 April 2023,CUST406,Female,22,Beauty,4,25,100
407,25 June 2023,CUST407,Female,46,Electronics,3,300,900
408,15 April 2023,CUST408,Female,64,Beauty,1,500,500
409,18 December 2023,CUST409,Female,21,Electronics,3,300,900
410,21 November 2023,CUST410,Female,29,Clothing,2,50,100
411,16 May 2023,CUST411,Male,62,Electronics,4,50,200
412,16 September 2023,CUST412,Female,19,Electronics,4,500,2000
413,08 September 2023,CUST413,Female,44,Beauty,3,25,75
414,09 May 2023,CUST414,Male,48,Beauty,4,25,100
415,27 January 2023,CUST415,Male,53,Clothing,2,30,60
416,17 February 2023,CUST416,Male,53,Electronics,4,500,2000
417,21 November 2023,CUST417,Male,43,Electronics,3,300,900
418,05 August 2023,CUST418,Female,60,Electronics,2,500,1000
419,22 May 2023,CUST419,Female,44,Clothing,3,30,90
420,23 January 2023,CUST420,Female,22,Clothing,4,500,2000
421,02 January 2023,CUST421,Female,37,Clothing,3,500,1500
422,20 June 2023,CUST422,Female,28,Clothing,3,30,90
423,08 March 2023,CUST423,Female,27,Clothing,1,25,25
424,23 November 2023,CUST424,Male,57,Beauty,4,300,1200
425,15 May 2023,CUST425,Female,55,Electronics,4,30,120
426,24 March 2023,CUST426,Male,23,Electronics,3,50,150
427,15 August 2023,CUST427,Male,25,Electronics,1,25,25
428,10 October 2023,CUST428,Female,40,Electronics,4,50,200
429,28 December 2023,CUST429,Male,64,Electronics,2,25,50
430,07 August 2023,CUST430,Female,43,Electronics,3,300,900
431,15 October 2023,CUST431,Male,63,Electronics,4,300,1200
432,05 January 2023,CUST432,Female,60,Electronics,2,500,1000
433,27 February 2023,CUST433,Male,29,Beauty,4,50,200
434,08 February 2023,CUST434,Female,43,Electronics,2,25,50
435,20 December 2023,CUST435,Female,30,Beauty,3,300,900
436,18 March 2023,CUST436,Female,57,Clothing,4,30,120
437,07 October 2023,CUST437,Female,35,Electronics,4,300,1200
438,19 January 2023,CUST438,Female,42,Clothing,1,30,30
439,09 July 2023,CUST439,Male,50,Clothing,3,25,75
440,26 October 2023,CUST440,Male,64,Clothing,2,300,600
441,10 October 2023,CUST441,Male,57,Beauty,4,300,1200
442,17 March 2023,CUST442,Female,60,Clothing,4,25,100
443,09 August 2023,CUST443,Male,29,Clothing,2,300,600
444,07 March 2023,CUST444,Female,61,Clothing,3,30,90
445,22 January 2023,CUST445,Female,53,Electronics,1,300,300
446,07 June 2023,CUST446,Male,21,Electronics,1,50,50
447,06 July 2023,CUST447,Male,22,Beauty,4,500,2000
448,21 January 2023,CUST448,Female,54,Beauty,2,30,60
449,03 July 2023,CUST449,Male,25,Electronics,4,50,200
450,18 April 2023,CUST450,Female,59,Beauty,2,25,50
451,16 December 2023,CUST451,Female,45,Electronics,1,30,30
452,08 May 2023,CUST452,Female,48,Clothing,3,500,1500
453,08 December 2023,CUST453,Female,26,Clothing,2,500,1000
454,22 February 2023,CUST454,Female,46,Beauty,1,25,25
455,01 July 2023,CUST455,Male,31,Electronics,4,25,100
456,14 October 2023,CUST456,Male,57,Electronics,2,30,60
457,28 July 2023,CUST457,Female,58,Beauty,3,300,900
458,14 November 2023,CUST458,Female,39,Electronics,4,25,100
459,21 March 2023,CUST459,Male,28,Clothing,4,300,1200
460,02 May 2023,CUST460,Male,40,Beauty,1,50,50
